"workerid","nat","age","gender","race","region","gendCom","raceCom","regCom","genCom","name1","conttype2","context","trialtype","content","qtype","conttype","naturalness","comment","experiment"
"S_177","Y","30s","M","CAU","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",88,"","exp3b"
"S_177","Y","30s","M","CAU","MW",NA,"","","","Jacob","c2","neut2","evenl","grain","evenpnq","c1",23,"","exp3b"
"S_308","Y","20s","F","CAU","OT",NA,"","The West","","Prue","TRUE","c1","filler","base1c","res","TRUE",40,"","exp3b"
"S_308","Y","20s","F","CAU","OT",NA,"","The West","","Matt","c2","neg","evenh","read","evenpnq","c1",15,"","exp3b"
"S_308","Y","20s","F","CAU","OT",NA,"","The West","","Lily","c2","neut2","snpi","anything","evenq","c1",30,"","exp3b"
"S_308","Y","20s","F","CAU","OT",NA,"","The West","","Dean","TRUE","c1","filler","base2c","res","FALSE",20,"","exp3b"
"S_308","Y","20s","F","CAU","OT",NA,"","The West","","Carrie","c2","neg","evenl","inkling","pq","c1",100,"","exp3b"
"S_308","Y","20s","F","CAU","OT",NA,"","The West","","Lydia","yespre2","c1","filler","someclimb","noever2","c2",70,"","exp3b"
"S_308","Y","20s","F","CAU","OT",NA,"","The West","","Andrew","c2","neut","mnpi","give","pnq","c1",55,"","exp3b"
"S_383","Y","20s","M","CAU","SW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",0,"","exp3b"
"S_383","Y","20s","M","CAU","SW",NA,"","","","Andrew","c2","neut2","mnpi","clue","pnq","c1",60,"","exp3b"
"S_383","Y","20s","M","CAU","SW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",0,"","exp3b"
"S_383","Y","20s","M","CAU","SW",NA,"","","","Carrie","c2","neut","evenl","hint","pq","c1",30,"","exp3b"
"S_383","Y","20s","M","CAU","SW",NA,"","","","Sally","c2","pos","evenh","praise","evenpnq","c1",0,"","exp3b"
"S_383","Y","20s","M","CAU","SW",NA,"","","","Roy","c2","neg","snpi","anytime","evenq","c1",56,"","exp3b"
"S_383","Y","20s","M","CAU","SW",NA,"","","","Lydia","nopre2","c1","filler","someclimb","yesever2","c2",0,"","exp3b"
"S_377","Y","40s","F","CAU","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",16,"","exp3b"
"S_377","Y","40s","F","CAU","MW",NA,"","","","Matt","c2","neut","evenh","solve","pnq","c1",51,"","exp3b"
"S_377","Y","40s","F","CAU","MW",NA,"","","","Andrew","c2","neg","mnpi","give","evenpnq","c1",100,"","exp3b"
"S_377","Y","40s","F","CAU","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",100,"","exp3b"
"S_377","Y","40s","F","CAU","MW",NA,"","","","Jacob","c2","neut2","evenl","grain","evenq","c1",84,"","exp3b"
"S_377","Y","40s","F","CAU","MW",NA,"","","","Lily","c2","neut","snpi","anything","pq2","c1",23,"","exp3b"
"S_377","Y","40s","F","CAU","MW",NA,"","","","Lydia","yespre","c1","filler","someclimb","yesever","c2",3,"","exp3b"
"S_307","Y","20s","M","CAU","SW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",32,"","exp3b"
"S_307","Y","20s","M","CAU","SW",NA,"","","","Carrie","c2","neg","evenl","hint","pnq","c1",83,"","exp3b"
"S_307","Y","20s","M","CAU","SW",NA,"","","","Lydia","nopre","c1","filler","someclimb","noever","c2",26,"","exp3b"
"S_307","Y","20s","M","CAU","SW",NA,"","","","Sally","c2","neg","evenh","call","pq","c1",32,"","exp3b"
"S_307","Y","20s","M","CAU","SW",NA,"","","","Roy","c2","neut2","snpi","ever","evenpnq","c1",90,"","exp3b"
"S_307","Y","20s","M","CAU","SW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",87,"","exp3b"
"S_307","Y","20s","M","CAU","SW",NA,"","","","Alice","c2","neut","mnpi","wink","evenq","c1",71,"","exp3b"
"S_98","Y","30s","M","CAU","SW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",61,"","exp3b"
"S_98","Y","30s","M","CAU","SW",NA,"","","","Sally","c2","neut","evenh","call","pnq","c1",38,"","exp3b"
"S_98","Y","30s","M","CAU","SW",NA,"","","","Lily","c2","neut","snpi","anything","pq","c1",81,"","exp3b"
"S_98","Y","30s","M","CAU","SW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",33,"","exp3b"
"S_98","Y","30s","M","CAU","SW",NA,"","","","Carrie","c2","neut2","evenl","inkling","evenq","c1",65,"","exp3b"
"S_98","Y","30s","M","CAU","SW",NA,"","","","Lydia","yespre","c1","filler","someclimb","yesever","c2",38,"","exp3b"
"S_98","Y","30s","M","CAU","SW",NA,"","","","Andrew","c2","neg","mnpi","clue","evenpnq","c1",65,"","exp3b"
